Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Abca14,34,40,63,44,25,27,30,16
Abca16,1896,1809,2202,1630,1440,1368,1741,1927
Abca2,40,20,36,20,31,21,16,31
Abca3,165,127,187,261,104,112,120,190
Abca4,337,289,340,271,260,230,360,413
Abca8b,493,326,394,1170,1078,1061,573,551
Abca9,3659,3094,4295,3467,3211,3991,3165,3314
Abcb10,1030,1026,1228,975,857,810,840,809
Abcb1a,386,421,505,253,216,211,269,244
Abcb1b,2437,2317,2307,6096,2713,2615,2693,2407
Abcb4,4660,3693,4243,2422,2371,2059,4560,4650
Abcb7,1180,896,1051,733,716,593,963,1097
Abcb9,1181,987,1083,1472,1475,1388,1384,1401
Abcc1,980,864,958,1835,1698,1573,1430,1446
Abcc12,987,767,1097,198,151,198,276,207
Abcc2,1580,1399,1663,1539,1467,1396,1317,1615
Abcc3,541,495,574,696,735,621,550,478
Abcc4,5,3,1,3,3,4,2,1
Abcc5,2,6,12,3,4,6,12,13
Abcc8,291,211,246,311,312,327,264,232
Abcc9,1846,2034,2153,1978,2043,2279,2528,2369
Abcd4,315,331,379,175,174,174,256,224
Abce1,2291,1962,2355,2132,2123,1835,2495,2799
Abcf1,1025,1066,1128,1070,1051,1015,1032,1081
Abcf3,1730,1944,2346,1238,1113,1190,1370,1009
Abcg1,2910,2876,3045,2938,2737,2735,3160,3089
Abcg2,15580,17134,19612,5597,5004,6061,7702,6281
Abcg3,1396,1509,1684,1569,1727,1514,1643,1537
Abhd1,31,26,27,41,32,54,31,8
Abhd10,4123,4538,4836,7809,4569,4108,4119,3821
Abhd13,2114,2005,2355,1808,1734,1678,1992,1931
Abhd14a,2851,2735,2914,3828,4031,3488,4129,4558
Abhd14b,63,31,46,55,41,39,55,70
Abhd16b,5,4,3,6,1,2,1,5
Abhd17a,218,134,155,109,99,112,141,170
Abhd17b,1426,1079,1346,1166,1070,1061,1205,1410
Abhd3,1002,662,804,756,631,604,891,892
Abhd6,1224,1194,1235,1792,1851,2096,1781,1692
Abi1,283,234,307,589,743,674,384,491
Abi2,58,21,28,97,105,102,35,69
Abi3,8721,10892,12196,8119,8364,9281,8844,8364
Ablim2,191,205,208,132,175,134,301,278
Abracl,3,1,5,8,6,1,8,6
Abt1,3149,3258,3488,3701,3836,3501,3095,3293
Abtb2,2270,2338,2503,2122,1928,2081,2246,2140
Acaa2,99,92,77,101,151,157,119,189
Acaca,80,67,95,33,33,27,40,49
Acad10,2263,3020,3137,2202,1957,2062,2866,2264
Acad8,8,1,0,2,4,2,3,3
Acad9,104,62,61,169,163,138,165,219
Acadl,1183,1492,1536,872,930,892,1347,1217
Acads,1766,1590,1981,1769,1790,1749,1678,1697
Acadvl,364,668,600,662,613,563,649,621
Acap2,1358,1271,1287,1365,1242,1506,1225,1104
Acat1,1389,4211,4413,4501,5192,5120,2031,1748
Acat2,64,45,65,34,44,50,25,22
Acbd3,2263,2522,2674,2589,2497,2904,2518,2345
Acbd6,23,18,19,20,25,22,22,26
Accs,8,8,9,11,8,12,15,11
Acd,13,22,29,26,48,62,7,14
Ace2,22,11,20,8,4,3,14,17
Acer2,223,305,322,291,311,340,229,236
Acer3,3818,3563,4005,3210,2864,2715,3398,3313
Ackr1,493,559,450,495,591,655,581,663
Ackr2,716,620,688,624,570,584,760,759
Ackr3,132,73,118,92,88,59,161,178
Acly,0,1,2,0,1,5,6,2
Acmsd,2744,2538,3218,2980,2794,2696,2908,2853
Aco2,15,13,13,8,15,9,21,22
Acot11,1816,1950,2015,2292,1972,2111,2539,2132
Acot2,1043,892,953,875,894,900,989,945
Acot7,37,17,38,22,23,27,16,15
Acot9,34,29,22,35,27,31,25,44
Acox1,404,259,332,534,502,454,460,511
Acox3,1871,1658,1883,1705,1632,1619,1909,1808
Acp1,423,401,471,282,241,267,209,228
Acp2,948,746,940,694,729,621,947,923
Acp6,1679,1617,1792,1616,1640,1527,1987,2055
Acpp,316,381,421,193,138,183,255,260
Acsbg1,30,27,27,46,61,55,39,55
Acsf3,237,403,376,62,69,92,122,93
Acsl4,2799,3236,3852,1812,1833,1643,1874,1786
Acsl5,163,283,363,313,218,195,107,98
Acsl6,5,4,4,3,7,1,3,4
Acsm5,1372,1362,1453,1273,1268,1213,1199,1237
Acss1,1440,1666,1791,1995,1971,1896,1600,1540
Acss2,439,391,495,199,190,164,240,296
Acss3,372,299,379,252,252,240,338,327
Acta1,5,5,3,11,6,3,1,0
Actb,11,12,16,20,18,26,6,18
Actc1,996,923,996,1111,1199,1067,1210,1322
Actg2,1724,1638,1932,1067,1025,991,1353,1388
Actl6a,87,30,48,49,52,79,65,49
Actl7b,478,265,353,151,162,136,141,180
Actn1,2445,2364,2809,2333,2289,2526,2754,2641
Actn3,1357,1491,1701,1417,1587,1481,1341,1235
Actn4,1598,1648,1853,1887,1828,1733,1739,1783
Actr10,666,766,995,902,556,659,496,678
Actr1b,26,24,18,16,15,11,14,10
Actr2,1765,1481,1616,1848,1839,1235,1289,1708
Acvr1,4239,3962,3970,5979,6142,6267,5852,5409
Acvr1b,581,659,739,474,395,417,629,638
Acvr1c,337,281,432,25,14,42,83,48
Acvr2b,130,114,118,160,144,139,116,91
Acvrl1,3455,2963,3348,4493,4496,3992,4153,4431
Acy1,3269,3169,3608,3024,2852,2504,3153,3104
Acyp2,2400,2019,2198,8072,8296,7744,1971,2311
Ada,5582,4976,5725,5574,6188,5242,6736,6660
Adam10,1059,1300,1559,1465,1360,1338,1314,1281
Adam12,3679,3114,4182,303,217,366,620,305
Adam19,14753,14201,15300,16640,17237,17450,16348,15925
Adam22,1746,1622,1920,1391,1240,1146,1498,1473
Adam23,2276,2367,2660,2275,2391,2338,2305,2283
Adam28,478,442,550,472,517,391,531,672
Adam8,266,147,173,430,488,506,621,697
Adam9,698,696,753,667,693,659,757,639
Adamts10,1847,1505,1711,1375,1323,1087,1571,1726
Adamts13,156,133,188,217,201,265,197,159
Adamts15,54,58,63,116,70,79,38,57
Adamts16,7477,8184,8690,4429,4711,5107,5305,4673
Adamts17,1271,1245,1550,2688,2768,2607,2138,1636
Adamts19,777,621,723,501,502,602,671,471
Adamts3,8660,7302,8525,5869,5784,5615,7597,7361
Adamts4,2518,2775,2891,2567,2432,2479,2626,2581
Adamts6,6897,6430,7280,6103,5963,5851,6479,6475
Adamts8,3900,2776,3060,4540,5063,3992,5782,6078
Adamts9,2157,1720,1959,1166,1176,1215,1549,1614
Adamtsl3,3100,2942,3222,2921,2844,2892,3250,3273
Adamtsl4,1539,1427,1583,1117,1085,902,1199,1332
Adarb2,114,72,101,95,70,101,60,80
Adat2,816,808,891,814,817,740,901,861
Adck1,2094,2505,2620,1817,1869,2102,2212,1746
Adck2,1572,1343,1598,1606,1426,1538,1936,1818
Adcy1,3024,2923,3178,3720,3710,3426,3615,3623
Adcy2,16127,11824,13618,8901,9773,8510,16188,17547
Adcy3,31,30,42,40,50,50,37,55
Adcy5,3031,3063,3408,3648,3489,3724,3579,3641
Adcy9,2075,2030,2105,2074,2110,1825,1925,2126
Add1,442,420,468,424,416,437,441,431
Add2,109,110,135,124,152,182,135,129
Add3,13,26,39,24,18,19,27,16
Adh5,6494,10091,11564,9127,8658,8570,8722,9494
Adh6b,353,291,347,205,234,249,309,240
Adh7,728,641,693,345,350,390,392,357
Adipor2,2646,2666,2887,2698,2406,2567,3053,2935
Adk,4539,6007,6190,3944,3770,3925,4499,4391
Ado,1989,2076,2353,2257,2265,2160,2131,2042
Adora2a,338,285,386,274,260,205,309,350
Adora3,2132,2117,2494,1865,1828,1831,1994,1828
Adprhl2,78,77,80,78,79,71,50,72
Adprm,496,479,558,434,407,447,582,521
Adra1a,702,961,976,831,886,838,768,693
Adra1d,189,164,193,172,133,131,206,218
Adra2a,1069,982,1071,930,1013,999,845,915
Adra2b,2945,2818,3238,2998,2979,2919,2827,2877
Adra2c,797,804,882,660,683,752,767,738
Adrb2,14149,11666,12344,12782,13198,12440,15589,15468
Adrbk1,1512,1007,1114,1462,1580,1262,1556,1555
Adrbk2,3293,2285,2781,2000,1925,1709,2571,2520
Adrm1,128,186,193,101,122,111,118,84
Aebp1,9269,10220,10778,8612,8933,9893,9408,8270
Aebp2,4534,4595,5231,4831,4586,4223,5384,5750
Aen,4912,4520,5125,4246,3965,3752,4590,4491
AF251705,8,4,6,9,9,9,7,4
AF357399,66,29,41,99,123,154,71,95
Afap1,165,252,292,144,169,207,282,211
Afap1l2,1,1,0,4,5,6,4,5
Aff4,7,10,15,2,13,4,9,8
Afg3l2,2019,2022,2235,1700,1699,1678,2284,2115
Afmid,526,438,549,367,288,310,513,480
Aftph,677,1016,1091,352,305,386,609,538
Aga,23,31,24,22,24,22,18,21
Agap1,5750,4157,4651,10850,11880,11236,9193,9375
Agap2,404,423,525,512,511,519,481,510
Agap3,4455,4355,5196,4350,4239,4105,4428,4263
Agbl2,4355,4150,4801,3571,3656,3191,4223,4078
Agbl3,361,365,466,466,426,436,358,439
Agbl5,1324,1494,1730,1614,1520,1713,1509,1456
Ager,21,12,12,12,9,12,15,4
Agfg1,186,155,135,78,122,55,147,83
Agk,1605,1650,1937,1629,1488,1606,1619,1438
Agmo,1206,1294,1430,1281,1162,1171,1273,1195
Ago2,604,581,654,425,445,456,457,485
Ago3,360,456,878,287,213,180,293,364
Agpat1,4504,4498,5015,4566,4376,4577,4440,4328
Agpat2,733,549,639,578,571,657,668,608
Agpat6,27,71,46,26,47,41,49,41
Agpat9,423,452,531,523,415,407,409,389
Agrn,638,642,733,583,590,624,705,660
Agrp,40,23,24,131,160,180,54,53
Agt,1415,1362,1581,1989,2259,2131,1715,1737
Agtrap,125,112,128,137,152,160,192,169
Ahctf1,5913,5177,5795,6622,6413,6089,7465,8106
Ahcyl2,3502,3900,4360,3090,2982,3325,3079,2965
Ahi1,6616,6805,7239,11543,11614,10678,7561,7989
Ahnak,320,282,286,158,122,104,208,217
Ahrr,546,427,537,633,570,564,482,446
Ahsa1,2361,2002,2176,1687,1554,1652,2035,1864
Ahsg,17120,17547,19207,8751,9302,7630,21388,27029
AI118078,601,520,519,948,777,882,417,676
AI182371,3520,3142,3369,3620,3391,3509,3697,3542
AI413582,208,116,153,274,231,220,310,311
AI427809,165,118,132,128,120,87,155,160
AI464131,1999,1872,2136,2341,2189,2124,1919,1810
AI480526,2648,2907,3236,2820,2778,2781,2669,2684
AI597479,1455,1454,1519,1036,913,1016,1177,1219
AI606181,3461,3338,3871,2645,2443,2755,3070,3003
AI661453,351,442,542,418,444,381,208,243
AI662270,6,9,8,20,31,29,23,31
AI837181,510,580,597,520,542,560,552,492
AI846148,1008,863,1048,999,1011,1149,1314,1204
AI854703,7725,7536,9166,10482,10603,9990,11259,11929
AI987944,940,668,844,675,639,585,881,986
Aif1l,994,723,921,875,891,720,930,1160
Aifm2,156,24,46,39,57,56,32,45
Aim1,901,831,1007,782,641,677,920,860
Aim2,207,168,207,68,56,59,177,184
Aimp1,4162,4198,4574,4398,3746,3570,4655,4517
Aip,850,1244,1193,1533,2103,2389,1053,1089
Aipl1,33,45,58,26,26,40,37,22
Airn,7,7,10,24,27,37,10,14
AK010878,1233,1195,1357,964,1055,892,1409,1439
Ak1,5177,6036,7100,6449,6029,6556,7032,7502
AK129341,810,972,1131,3613,3575,3715,1029,875
Ak6,563,494,552,449,380,405,773,773
Akap1,793,715,844,579,560,543,654,585
Akap12,3134,3211,3529,3845,3507,3249,3367,3477
Akap13,1057,672,745,901,1017,1058,713,1170
Akap17b,361,342,335,326,308,302,341,382
Akap9,4875,5040,4971,8852,7823,8167,6597,6273
Akirin2,323,371,419,391,342,423,342,261
Akr1b10,24035,15825,18085,16845,16024,15127,19414,19721
Akr1c13,890,1003,1040,1043,1082,1031,917,980
Akr1c21,87,64,85,47,34,44,75,84
Akr1e1,29,18,31,53,50,70,33,43
Akr7a5,1033,1160,1364,1030,941,865,989,826
Akt1,1983,1982,2196,1700,1508,1490,1910,2032
Akt2,5691,4863,5291,4997,5077,4400,5583,5832
Akt2-ps,3093,3187,3473,2699,2546,2613,3311,3222
Akt3,3636,2740,3386,5121,5331,4738,5745,6186
Aktip,98,70,126,285,277,210,267,293
Alad,2498,2389,2606,2257,2159,1955,2132,2114
Alcam,661,660,750,658,568,568,638,670
Aldh16a1,3,0,1,2,4,5,1,3
Aldh1a2,8,2,10,1,3,2,2,1
Aldh1a3,53,47,56,79,78,75,78,91
Aldh1b1,18,5,5,54,40,48,7,7
Aldh1l1,5889,6928,7344,2857,2494,2983,3739,2699
Aldh9a1,420,361,396,430,433,413,490,515
Aldob,3019,2834,3282,2697,2879,2593,2958,2946
Alg1,3,4,6,2,4,4,4,8
Alg10b,905,853,838,797,849,818,918,1001
Alg13,208,188,220,171,147,152,267,288
Alg14,5353,5163,5598,6120,6853,6398,6177,6347
Alg2,230,124,181,61,43,45,91,81
Alg3,1967,1995,2049,1351,1232,1380,1755,1577
Alg5,643,591,666,557,586,498,534,521
Alg6,667,834,920,1047,913,979,927,883
Alg8,14714,17965,17547,18812,19113,22680,20062,18523
Alg9,3541,3399,3795,4905,5474,5207,3415,3915
Alk,15736,12655,14402,15273,15138,12362,16534,18828
Alkbh1,1280,969,1225,983,1059,876,1310,1515
Alkbh2,373,291,386,206,186,164,263,291
Alkbh5,416,325,379,596,587,622,749,684
Alms1,923,996,1208,1365,1096,1102,1121,1133
Alms1-ps1,2776,2967,3120,3516,3677,3684,3193,3040
Alox12,2696,2507,2969,2876,2720,2380,2892,3059
Alox15,9,3,8,4,4,4,5,11
Alox5ap,778,472,554,706,616,540,704,838
Aloxe3,884,888,1055,518,406,360,618,614
Alpk1,783,743,771,675,696,745,779,853
Alpk3,632,126,152,137,155,124,116,192
Als2cl,1871,1692,1928,1359,1254,1429,1437,1090
Amacr,180,204,238,122,136,131,133,138
Amd1,12,15,40,12,7,18,26,17
Amd2,106,139,151,22,19,17,33,17
Amdhd1,2273,2403,3020,1407,1395,1432,1224,1016
Amdhd2,214,222,236,159,174,170,215,202
Amfr,70,47,84,94,88,96,59,66
Amh,118,246,201,169,131,174,129,113
Amhr2,84,50,53,102,87,95,71,75
Amica1,31,32,46,96,119,101,35,45
Amigo1,1088,1151,1181,749,698,694,964,917
Amigo2,4591,4586,5222,2233,1980,1858,2835,2347
Amigo3,48,43,34,184,89,98,79,115
Ammecr1l,8,15,9,22,30,25,25,18
Amot,22,6,9,13,5,14,10,27
Amph,2394,2104,2543,2202,2060,1755,2271,2318
Amt,895,617,715,843,887,759,758,933
Amy1,642,824,1103,787,736,729,614,679
Amz1,1023,1273,1287,1288,1438,1388,1576,1578
Anapc1,3044,3155,3321,3465,3510,3516,3369,3219
Anapc11,1206,1137,1408,959,924,828,709,791
Anapc13,2406,2552,2798,2672,2763,2575,2584,2436
Anapc15,406,394,419,546,596,586,623,629
Anapc16,198,155,172,193,173,182,118,115
Anapc2,79,31,48,51,54,51,44,73
Angpt1,5588,4557,5699,3616,3326,3223,5186,5173
Angptl1,1313,1229,1326,1312,1302,1260,1474,1408
Angptl2,2440,2881,3311,2120,1932,2200,2389,2110
Angptl4,430,410,379,254,277,261,288,288
Angptl6,102,92,92,132,107,66,63,119
Angptl7,372,464,472,380,334,370,452,433
Ank,56,94,135,288,287,367,124,94
Ank1,361,315,369,334,373,376,354,344
Ank2,54,18,29,44,52,36,35,28
Ankdd1b,12,25,17,1,1,0,8,12
Ankfy1,1032,936,1163,701,571,585,881,918
Ankib1,2059,2083,2129,1954,2014,2031,1785,1600
Ankk1,4274,5452,5869,8314,8265,9210,5492,5363
ANKLE1,201,104,122,124,131,80,225,215
Ankle2,20,39,38,26,17,31,17,45
Ankmy2,2653,3285,3980,1141,1093,1306,2333,2442
Ankrd1,1954,1811,1910,1739,1567,1710,1961,1793
Ankrd11,1185,1438,1516,2801,3512,3432,1562,1548
Ankrd12,20,11,18,35,31,30,24,24
Ankrd13a,1108,943,1134,950,814,866,844,834
Ankrd13d,10,5,4,29,29,30,4,6
Ankrd16,922,855,1086,646,629,587,655,669
Ankrd17,988,739,910,816,824,631,966,1086
Ankrd23,318,137,158,887,886,763,328,393
Ankrd27,2878,2816,3207,2516,2491,2494,3057,2815
Ankrd34a,1159,1293,1444,466,456,469,1196,1110
Ankrd35,9202,6113,7406,9853,10838,12007,5639,8130
Ankrd37,15,19,17,19,10,25,15,9
Ankrd39,483,516,658,336,337,363,506,519
Ankrd40,3150,3252,3638,4873,5252,5711,3415,3351
Ankrd42,605,607,667,469,404,455,641,567
Ankrd44,620,400,417,368,404,434,403,384
Ankrd49,910,856,967,1433,1534,1434,1317,1377
Ankrd50,1128,939,964,932,843,843,1107,1013
Ankrd52,1197,1098,1114,1150,1018,1000,1343,1220
Ankrd54,452,424,451,304,269,340,376,322
Ankrd6,256,253,255,87,106,76,258,232
Ankrd61,964,738,826,731,683,744,868,843
Ankrd9,429,404,459,538,504,486,595,526
Anks1b,900,1041,1082,681,622,611,742,645
Anks3,1166,930,1167,934,821,831,1139,1140
Anks6,10584,11397,13000,5968,5210,4857,8706,7605
Ankzf1,836,763,936,1235,1190,1277,830,775
Ano1,2498,2060,2286,2454,2366,2471,2754,2811
Ano7,1856,1365,1267,1909,1765,1631,2730,2580
Ano8,516,858,1051,1378,790,788,391,640
Anpep,201,122,134,126,147,148,239,228
Anxa1,9,3,4,4,6,12,3,2
Anxa2,41,27,38,124,106,158,78,79
Anxa4,0,4,3,2,1,5,1,0
Anxa5,133,166,180,168,187,157,165,170
Anxa7,171,335,441,272,263,306,204,189
Aox1,587,702,697,676,728,672,629,612
Ap1ar,670,501,683,139,145,148,255,176
Ap1b1,4276,5428,5554,4353,4251,4226,4846,4724
Ap1g1,82,95,144,54,51,81,64,70
Ap1m1,1731,1753,1973,1054,943,1032,1301,1141
Ap1m2,822,820,794,729,818,780,792,848
Ap1s3,1503,1459,1552,1096,1083,1095,1732,1841
Ap2a1,1422,1312,1506,1829,1809,1786,1384,1354
Ap2a2,2559,2067,2374,1755,1569,1415,2323,2199
Ap2b1,558,556,650,731,664,671,551,614
Ap2m1,5134,4214,4153,5537,5662,5699,7175,7345
Ap3d1,2602,3010,3234,2260,2233,2301,2213,1804
Ap4e1,2347,2126,2413,2195,2075,2199,2686,2449
Ap5m1,5459,5580,6322,7336,7263,7830,6163,5048
Ap5s1,28,25,50,21,37,46,49,39
Ap5z1,395,383,419,311,283,278,358,382
Apaf1,154,279,253,373,363,294,215,182
Apba1,5398,4579,5232,4522,4310,4442,5488,5242
Apba2,2801,3237,3723,2260,2351,2439,2626,2552
Apbb1ip,755,678,805,639,590,621,775,664
Apbb2,348,255,267,629,611,591,620,662
Apc,6,2,0,7,10,7,11,16
Apc2,8343,7475,8776,6453,6345,5903,6801,6915
Apcdd1,28888,39566,44450,33591,31027,28964,37736,37561
Apeh,23722,29612,31552,24807,25822,25134,27171,25633
Apex2,944,892,921,734,749,754,910,802
Aph1a,36,16,15,30,38,29,40,59
Aph1c,708,745,862,687,752,822,797,950
Api5,446,508,485,439,404,475,449,373
Apip,1009,636,634,1000,757,1014,701,591
Apitd1,1978,1928,2120,1836,1756,1717,1716,1691
Apln,2,3,8,3,4,4,6,2
Aplnr,594,478,515,753,755,842,655,793
Aplp1,836,750,909,714,679,546,706,718
Apobec1,114,88,102,228,269,232,96,109
Apobr,3164,2581,2788,3330,3446,2867,3785,3787
Apoc1,2609,2611,2852,2425,2337,2287,2295,2357
Apoc2,308,297,337,302,341,284,282,305
Apol10b,3847,3109,3749,2556,2316,2212,2904,2937
Apol6,2064,2458,2655,6216,6404,5678,3183,2871
Apol9a,1431,1250,1332,1301,1188,1349,1850,1660
Apold1,31,49,43,69,58,69,32,25
Apom,1169,1314,1384,1215,1133,1206,1371,1158
Apon,13619,13068,14722,13387,13248,12732,15622,16177
Apoo,1557,1545,1553,1950,2016,2195,2335,2153
App,108,74,104,199,251,253,125,246
Appbp2,3584,3449,4098,2256,2170,2081,2812,2929
Appbp2os,987,847,997,818,818,806,934,913
Appl2,174,107,180,24,25,18,49,31
Aprt,2192,2256,2399,2054,2045,2153,2163,1994
Aqp3,305,160,240,165,199,184,169,131
Aqp6,2311,1604,1601,2306,2226,1960,4508,4537
Aqp7,535,436,504,405,358,287,522,475
Aqp9,7,5,4,5,2,6,7,6
Aqr,1088,1076,1102,961,846,775,965,985
Ar,3,2,2,4,7,8,0,0
Araf,5891,6577,7384,7508,6940,8107,6801,6034
Arap2,893,767,792,894,855,729,843,893
Arap3,1290,1426,1397,1323,1289,1135,1338,1400
Arel1,2613,2229,2598,2577,2430,2551,2850,2967
Arf3,722,740,818,624,658,532,657,673
Arf4,97,77,86,72,72,96,70,83
Arf5,1910,2059,2188,1556,1333,1703,1653,1446
Arf6,1500,1195,1664,1455,1362,1334,1509,1636
Arfgap3,12,2,6,6,7,1,4,2
Arfgef1,1517,1426,1771,1475,1581,1347,1453,1441
Arfip1,286,243,246,342,345,294,245,218
Arfrp1,70,38,40,109,116,75,58,109
Arg2,59128,72103,70846,60122,61903,55956,86304,85734
Arhgap1,3176,2708,3143,2368,2488,1900,2696,2778
Arhgap10,191,220,192,174,162,151,216,215
Arhgap11a,584,603,669,384,367,339,508,514
Arhgap12,266,425,452,298,231,352,275,251
Arhgap18,65,83,61,99,46,46,61,63
Arhgap22,282,235,316,94,81,114,114,87
Arhgap23,1088,919,1135,1402,1333,1335,1487,1581
Arhgap25,1369,1226,1371,948,811,938,1254,1198
Arhgap26,1901,1770,1969,1344,1320,1188,1550,1606
Arhgap27,31,61,66,71,73,113,58,56
Arhgap27os1,4043,3803,4379,2214,2123,2221,3045,3254
Arhgap27os2,281,211,323,15,15,29,48,22
Arhgap27os3,1431,1298,1445,1390,1441,1287,1532,1502
Arhgap28,0,0,1,4,10,11,13,12
ARHGAP29,51,41,52,11,10,5,12,8
Arhgap30,3017,3654,4100,5767,5474,4984,4272,4623
Arhgap33,12,13,12,14,7,8,12,8
Arhgap35,666,667,863,1290,1360,1520,601,590
Arhgap39,468,541,559,365,339,351,409,401
Arhgap5,2648,2218,2545,2400,2296,2059,2420,2627
Arhgap6,629,466,541,595,529,487,666,572
Arhgap9,4675,4685,5447,3911,3823,3506,4343,4241
Arhgdib,90,85,126,59,42,62,60,75
Arhgef10,853,725,885,829,769,766,866,870
Arhgef10l,0,2,3,8,6,9,4,2
Arhgef11,55,34,43,37,43,57,58,50
Arhgef12,125,113,153,232,183,223,112,167
Arhgef15,1143,959,1175,659,578,421,641,692
Arhgef17,42,18,18,32,39,69,27,22
Arhgef19,67,35,64,64,67,67,58,48
Arhgef25,276,203,254,93,62,75,106,78
Arhgef3,1364,1487,1814,865,772,866,1026,1014
Arhgef37,2073,3432,3673,1770,1743,1502,1522,1543
Arhgef39,15,15,8,26,31,27,15,18
Arhgef4,156,116,140,147,125,158,141,118
Arhgef40,5,3,3,1,2,4,3,2
Arhgef6,537,521,567,371,394,337,427,413
Arhgef7,74,49,38,41,55,44,88,168
Arhgef9,4,3,5,6,2,12,11,9
Arid1a,78,58,59,30,47,44,58,121
Arid1b,1537,1474,1632,1304,1316,1306,1409,1540
Arid3a,6039,6818,7203,5632,5721,5669,5915,5735
Arid3c,1851,2148,2283,2332,2299,2170,2040,1935
Arid4a,364,316,372,350,317,362,427,430
Arid4b,13,10,18,6,12,11,16,13
Arid5b,14,18,15,17,18,19,12,5
Arl1,1124,1309,1236,1311,1217,1386,1477,1465
Arl10,2001,1712,1844,1779,1785,1878,2185,1848
Arl11,1399,1082,1235,1211,1244,1193,1514,1563
Arl13b,104,41,66,121,148,111,123,129
Arl16,13,28,31,17,11,12,10,5
Arl2bp,638,610,738,584,568,450,527,561
Arl3,71,58,51,92,82,78,72,52
Arl4c,2608,2442,2873,1697,1630,1653,1775,1783
Arl4d,15,13,8,39,41,26,14,17
Arl5a,5,0,3,23,8,14,5,7
Arl5b,1337,1321,1532,1082,1045,1020,1397,1257
Arl6ip1,600,367,421,1696,1592,1535,1122,1281
Arl6ip4,1886,1676,1943,2097,1864,1857,2151,2179
Arl6ip6,424,396,399,375,323,309,445,424
Arl8a,1691,1665,1787,1957,2022,1942,2153,2100
Arl8b,85,34,19,64,83,88,128,111
Arl9,33,26,30,26,47,33,39,48
Armc5,1299,1327,1367,1004,1085,1179,1239,1161
Armc7,4569,4592,5253,4734,4424,4578,4677,4674
Armc8,7410,8680,9514,7643,7421,7211,7698,7159
Armc9,36,54,48,100,96,121,50,77
Armcx1,550,451,556,57,33,66,84,61
Armcx4,357,427,484,420,378,374,506,467
Armcx5,11877,13657,14295,6680,7377,7677,9418,13146
Armcx6,1806,1943,1988,1948,1874,1746,1769,1889
Arnt2,106,85,75,123,172,151,95,180
Arntl,0,1,4,2,1,2,0,6
Arpc1a,341,340,382,313,345,308,339,342
Arpc1b,66,43,63,38,30,36,48,60
Arpc2,97,175,159,116,121,131,99,53
Arpc3,156,146,147,205,188,159,170,130
Arpc4,5,0,1,5,3,2,0,1
Arpc5,322,326,282,1323,543,415,278,233
Arr3,577,643,697,729,706,719,728,660
Arsk,1573,1419,1570,1465,1486,1422,1729,1764
Art1,180,160,149,427,487,420,543,638
Art4,2499,2534,2886,2809,2761,2532,2732,2755
Artn,566,572,657,668,670,614,921,902
Arv1,2725,2625,2923,2304,2564,2466,2431,2304
Arvcf,419,275,310,253,238,223,410,399
Arxes2,192,171,184,476,509,493,384,443
As3mt,470,604,724,811,855,828,626,778
Asah2,414,312,385,298,343,472,650,561
Asap2,1670,1678,1895,1797,1857,1895,1755,1673
Asb1,6148,5836,6521,6276,6226,5684,6253,6519
Asb13,2882,2705,3185,3086,3243,3200,3259,3235
Asb14,2593,2552,3079,2821,2486,2882,2728,2544
Asb15,2805,2779,3050,2125,2006,1802,2250,2209
Asb16,1579,1388,1501,1034,1014,923,1141,1179
Asb2,10,2,3,7,6,7,5,7
Asb4,628,563,615,421,430,432,463,567
Asb6,2014,1879,2221,2035,1861,1823,2184,2295
Asb8,1488,1129,1354,505,560,596,964,1038
Ascc1,8340,7886,9296,5720,5767,4965,7208,7262
Ascc3,804,852,944,1220,1134,1213,840,772
Asf1a,2177,2038,2280,2713,2685,2459,1966,2061
Asgr2,862,1168,1350,506,609,573,593,591
Ash1l,50,32,29,23,17,15,36,40
Asic3,312,260,335,249,208,210,306,304
Asl,2860,2694,3036,2414,2405,2379,2705,2508
Asna1,85,75,100,75,94,82,42,49
Asns,1121,1012,1256,1208,1121,1097,1271,1293
Asnsd1,1291,1263,1448,927,891,719,1014,1092
Aspa,4044,4911,5445,3855,3982,3611,3797,3682
Aspg,579,543,595,248,221,228,522,490
Asph,356,435,384,312,323,331,336,668
Asphd1,6,12,5,11,27,24,12,15
Asphd2,352,293,369,260,279,232,386,322
Aspm,1149,1078,1125,1354,1323,1314,1467,1346
Asprv1,19,13,21,40,36,26,36,43
Asrgl1,11,13,19,14,17,24,7,11
Ass1,156,214,288,185,164,143,143,156
Astl,126,97,97,63,51,50,61,46
Astn1,2623,1694,2204,1336,1338,1399,1568,1326
Astn2,1447,1420,1607,1138,1104,1041,1377,1412
Asun,38,39,42,31,19,19,51,47
Atad2,1310,1673,1648,1652,1660,1739,1633,1415
Atad2b,552,508,615,472,394,378,548,497
Atad3a,1489,1732,2051,868,820,1024,1345,1113
Atad3aos,425,323,420,224,204,215,191,123
Atat1,5,3,4,0,3,2,2,4
Ate1,814,719,896,560,511,429,707,658
Atf1,1839,1771,1981,1301,1366,1141,1583,1658
Atf2,444,460,567,323,322,317,344,407
Atf5,6092,6598,7566,6283,5666,5354,7093,7376
Atf6,2570,2885,2792,3010,3178,3312,2963,2862
Atg10,1148,1070,1259,1166,1132,1186,1191,1153
Atg12,105,82,102,116,86,130,99,112
