Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Glyatl3,474,296,356,374,355,350,371,410
Glyctk,6038,5694,6297,6139,6048,5824,7100,6796
Glyr1,1098,847,959,456,504,439,851,828
Gm10012,72,65,88,101,99,137,78,92
Gm10030,2673,2825,3224,1893,1786,2024,2540,2521
Gm10039,106,83,134,56,55,41,31,49
Gm10051,1130,712,1003,188,185,180,218,116
Gm10068,234,161,178,189,203,192,291,254
Gm10075,14993,19229,21955,17055,15852,16691,16819,15066
Gm10076,1291,1558,1962,1368,1253,1412,1424,1358
Gm10086,519,562,698,472,445,430,589,679
Gm10093,6002,5567,5926,9480,8660,8690,6969,6969
Gm10101,823,980,1011,1002,1013,938,939,864
Gm10125,2203,2301,2544,1818,1729,1829,1526,1605
Gm10134,284,329,578,135,110,153,120,71
Gm10136,600,614,655,794,797,805,751,737
Gm10143,580,502,493,385,409,340,538,569
Gm10155,372,171,270,335,310,354,307,391
Gm10169,677,507,639,258,279,253,453,377
Gm10222,4128,3440,4057,2880,2897,2766,3124,3307
Gm10224,128,107,142,186,179,147,118,167
Gm10226,461,246,326,512,623,530,334,366
Gm10231,11,10,7,4,6,8,12,5
Gm10247,0,1,1,1,0,4,4,0
Gm10268,1078,889,958,1031,947,944,1222,1261
Gm10277,3065,1930,2154,2719,2690,2730,2312,2610
Gm10282,1307,1478,1665,1165,1229,1259,1319,1214
Gm10288,6239,6052,6711,5671,6024,6381,5599,5151
Gm10330,715,490,697,876,897,759,849,936
Gm10340,13,15,13,7,6,11,26,26
Gm10364,590,430,514,48,36,44,117,45
Gm10369,1951,2151,2391,1773,1775,1683,1915,1663
Gm10371,750,762,749,1121,1037,1115,1026,1043
Gm10420,21572,20627,21685,35970,37712,37424,25826,24637
Gm10447,4301,3459,4034,3915,3611,3179,4272,4294
Gm10451,268,159,193,178,171,187,260,278
Gm10479,3328,2576,3072,2805,2664,2484,2619,3020
Gm10499,67,51,67,49,63,45,75,58
Gm10501,7168,10029,8830,16149,16304,16922,18779,13198
Gm10509,5,5,1,2,3,3,3,0
Gm10548,862,824,899,878,845,885,953,925
Gm10563,461,349,462,405,481,391,479,457
Gm10571,2394,2619,3132,2885,2921,3304,2185,1924
Gm10600,632,1477,1517,8474,9048,9837,1684,1310
Gm10602,1499,1748,1746,1893,1806,2022,1928,1710
Gm10634,2,0,3,3,4,1,3,4
Gm10653,15039,11574,14010,18491,19419,19526,17405,15877
Gm10693,1800,1902,1983,2516,2122,2362,1882,2191
Gm10699,48,63,76,102,117,117,102,98
Gm1070,2190,2060,2400,2241,2204,2168,2262,2307
Gm10709,5,5,9,1509,755,636,2,4
Gm10767,906,798,903,753,694,663,892,1134
Gm10785,3238,3603,3701,3636,3684,3969,3345,2962
Gm10863,1133,1102,1244,1131,1026,912,1068,1040
Gm11027,7161,7912,9001,6946,6652,6371,6641,6490
Gm11037,233,190,179,210,204,201,175,232
Gm11084,3437,2297,2631,3630,3696,3350,3976,3978
Gm11100,634,620,701,461,474,452,516,570
Gm11110,837,741,909,596,590,579,766,685
Gm11127,5475,6013,7182,7659,6981,6873,7415,7291
Gm11209,15,9,13,20,13,16,19,15
Gm11210,9,0,2,5,3,3,4,1
Gm11211,207,145,163,100,102,100,176,184
Gm11249,2462,2368,2509,3216,3284,3501,2986,2953
Gm11261,1363,1529,1606,1088,1020,1024,1416,1240
Gm11263,36,11,14,9,5,6,15,20
Gm11273,1329,1333,1486,1416,1423,1333,1542,1349
Gm11274,0,1,3,7,3,1,2,3
Gm11331,332,308,336,103,111,128,317,233
Gm11335,21,6,7,47,40,35,15,59
Gm11361,170,152,196,195,190,201,213,218
Gm11365,7998,9993,9856,7761,8400,7429,8926,8665
Gm11380,1328,1304,1471,1424,1335,1346,1357,1411
Gm11400,417,252,344,374,384,364,418,482
Gm1141,16369,25836,26191,13083,12888,11499,15393,16094
Gm11424,684,577,695,659,685,612,710,698
Gm11427,148,107,97,244,177,202,93,144
Gm11447,5591,4612,5082,5689,6129,6569,6361,5528
Gm11449,6539,5660,6423,5525,5766,4574,5692,5908
Gm11455,816,470,724,115,101,136,222,158
Gm11465,471,517,541,596,597,607,632,611
Gm11469,4461,4307,4517,3115,3051,3000,4887,4784
Gm11476,451,447,526,414,387,393,455,537
Gm11496,1620,1553,1628,1377,1420,1386,1375,1300
Gm11497,1230,1007,1254,1180,1244,974,1444,1536
Gm11517,1189,1691,1553,1736,1802,1989,1452,3921
Gm11520,2,41,32,27,28,37,26,11
Gm11525,5089,4359,4697,7117,7928,6935,5919,5770
Gm11527,5,15,0,2,3,3,2,4
Gm11536,2826,3131,3927,1856,1818,1650,2482,2940
Gm11537,183,141,172,246,212,198,167,287
Gm11560,2411,1990,2133,1713,1620,1568,2221,2281
Gm11598,90,71,92,48,53,57,73,43
Gm11620,1036,1321,1532,2109,2081,1871,1549,1454
Gm11634,3,2,4,8,3,5,3,1
Gm11646,14753,13721,16092,15566,16343,14268,16436,16911
Gm11682,543,415,422,563,578,671,546,551
Gm11687,929,1215,1214,828,786,666,991,978
Gm11693,614,999,1050,478,421,550,356,343
Gm11706,10650,10874,12491,8427,7871,7310,8568,7701
Gm11707,1424,1283,1465,1698,1689,1553,1883,1839
Gm11709,1164,1012,1141,756,689,663,992,1079
Gm11714,3554,3851,4356,3624,3396,3496,3179,3340
Gm11723,5,4,6,9,2,7,2,6
Gm11724,39,12,29,16,14,22,15,32
