Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
A1CF,3.740924795,3.635838717,3.679478114,3.464826022,3.693231636,3.654364882,3.459913689,3.096703998,3.512670877,3.634363139,3.315672695,3.97043719,3.662484179,3.570731279,3.284259125,3.231615779,3.118839162,3.812841392,3.596798654,3.527160911
A2M,10.90160977,11.18669953,11.21127695,10.97198263,10.11089195,9.889440494,11.25858107,11.62850705,11.22808753,10.2068544,9.960845403,10.33822062,10.82321252,11.4050018,10.72744705,10.48533501,10.00864293,10.15447798,10.79764496,10.78380155
A2ML1,4.462633159,4.356168641,4.486749675,4.860120668,4.414544124,4.173252145,4.165304349,3.912064713,5.644012687,4.003317613,4.107854828,5.313151811,7.866102786,3.998343259,4.464594835,4.126657831,9.017614077,6.375950255,4.486909254,4.296809599
A3GALT2,3.879827696,4.623179732,3.954523005,4.003341543,3.980420684,4.735095978,3.489270661,4.01179067,4.512024135,4.260226518,3.964629329,4.164735608,4.197719715,3.896868377,4.640620449,3.649593861,3.986450019,4.487736987,4.433561916,3.765442423
AAAS,7.584770186,7.907561763,7.557171594,7.735576412,7.517781581,8.177480337,8.174065623,8.450647125,8.196596829,7.645964322,8.629344584,7.781408853,7.205962203,8.536155603,9.082627264,9.497814428,8.515994551,7.873684988,8.182250046,7.97176815
AACS,6.536828684,6.843395024,8.143267554,6.9354022,7.054695402,8.16671804,6.973502974,7.17119661,7.015877625,7.048143885,7.563579316,6.56903008,7.237957635,7.309964847,6.93341894,8.317519149,7.584439833,7.075662839,7.776291207,6.695674471
AADACL3,3.597514393,3.708939473,3.739701761,5.007869364,3.966567459,4.220594627,3.47689863,3.329343361,3.392324037,3.513789926,3.173183495,3.798783019,3.701347425,3.609400762,4.594856524,3.930154347,3.444951005,4.226737004,4.348285464,3.957247289
AADACL4,3.875328061,4.16415244,3.878881183,4.162959399,3.681154331,3.66922155,3.305826247,3.068802356,3.382762157,3.953067878,3.314466701,3.721215023,3.621352472,3.578957433,3.594765694,3.183535157,3.376660163,3.980084235,4.437501532,3.937142171
AAGAB,7.607069111,7.425680505,8.124657138,7.649927477,7.970269225,8.815057806,8.316005181,7.803888059,7.443990219,7.783276237,8.742726338,7.58052883,7.632912932,7.954512219,8.497798284,8.257675554,7.719191846,6.747740123,7.767179967,8.200244071
AAMDC,7.121689305,6.616212885,5.309114274,6.878824478,5.961069196,5.634590567,5.928704275,6.051324377,5.500095552,6.636461388,6.038910162,6.090475076,6.215659945,5.720559409,6.020535525,7.640592319,6.211073187,5.879527462,5.889592472,5.516220611
AANAT,5.198824292,5.618405771,4.867556924,5.377649161,5.240150673,4.959030395,5.044200939,4.798862204,5.057540784,5.019285574,5.032058806,5.408316417,5.299497748,4.523184307,5.036863989,4.50653226,4.61977493,5.226527028,5.343630832,5.305718636
AARS1,8.977042822,8.405974541,9.016962504,8.950430827,7.280085288,9.067232578,8.652401482,8.637132053,9.262015016,8.781845628,9.861728328,8.748275667,8.280896378,8.869588431,8.856090187,11.1091422,10.162851,9.406478575,8.893332235,8.919189089
AASDHPPT,7.819862817,7.365420585,7.59856551,7.56479885,7.984631911,7.841109856,7.844189515,7.763733614,7.293838323,7.09280176,8.569431509,7.381517016,7.61649257,7.537724191,7.918443306,7.553008081,7.961753923,7.456569602,7.219509559,8.002015885
AATF,7.553751767,7.351252437,7.478385279,7.537415028,7.013718009,7.420939118,7.851300002,7.695573441,7.595362386,6.990770128,8.260680579,8.273217566,7.700024119,7.333816085,7.314857962,8.602541101,7.738359763,7.751590092,6.414720268,7.261171178
AATK,5.95646532,5.936057652,5.931557519,5.880731607,6.006504034,5.629802357,5.640239326,5.799859428,6.230452738,5.73304198,6.095189565,5.937529448,5.803537198,5.689403657,5.998723243,5.939078535,5.322177662,6.380706012,5.817285172,5.40852689
ABAT,5.974815766,6.014236511,6.854133833,5.887811991,6.656238856,7.258029654,7.784095759,7.51064462,6.02978314,6.24978139,7.502998762,5.436759935,5.892413133,8.384389893,7.986723722,8.182409644,5.971700683,5.622893612,6.21551735,6.537625943
ABCA10,6.027132352,4.850974002,4.975794266,6.045916777,6.410543286,3.666724926,3.668311316,4.554518183,3.501743312,3.475709949,5.118543742,3.026370617,4.96288778,5.835575338,3.030996162,3.331392959,2.784018314,3.92248329,2.966198842,3.478821811
ABCA3,5.427305377,5.856720695,7.024168567,6.108979902,5.847026946,8.296659388,7.94812841,6.065655801,5.511534984,5.877369882,7.782211483,5.77977474,5.620223378,5.868658307,7.029447388,8.256325916,7.564387882,6.200124104,5.627572846,5.954805267
ABCA4,4.118966363,4.432185587,4.352474784,4.136355899,4.335869297,4.380154396,3.671274015,3.645233117,3.734055727,3.563669456,3.237466319,3.653745961,3.97771287,5.011925932,3.782272209,3.570849316,4.931199337,3.716625069,3.640819953,4.608665573
ABCA5,6.49755253,6.112005406,7.237695936,5.881888222,8.393012809,8.656111647,5.959340239,7.748133981,6.105775728,6.762385612,8.852039553,6.295426171,7.010613514,6.900943184,6.410449186,7.1034798,5.619318767,6.535175206,5.843020418,6.475303959
ABCA6,8.423324472,9.033391483,6.6625709,8.073378573,8.45634782,4.982972716,6.558144529,6.217443478,6.49290158,6.637332023,5.768034906,5.889982527,7.829859632,7.614032596,5.130318008,5.041240318,4.123941136,5.932785795,5.534662761,5.62870279
ABCA7,6.025273129,6.107831175,6.119795141,6.066285557,5.966462327,6.322618546,5.758561641,5.861805117,6.514617566,6.39887595,6.769904493,7.104277349,6.318633181,5.93633597,6.459561451,6.056189345,6.124491769,7.191835601,6.546115187,6.116641047
ABCA8,7.540143218,8.105255446,5.929364195,7.280166245,7.7380284,3.894685669,5.371517972,5.353094302,4.553164959,4.217929244,5.045739958,3.808955764,6.073360999,6.457975634,3.721230229,4.240560397,3.280135848,4.662422391,3.05211809,3.319851993
ABCA9,7.29398654,6.928193894,6.382846927,6.639443886,8.425395917,4.163512244,5.930296129,5.297741686,6.069312668,5.950065953,4.271180908,4.977490634,6.650357229,6.626080474,3.858074368,4.41490265,3.734651906,5.153509497,4.546442746,5.037395784
ABCB10,7.044889446,7.237591817,7.095982901,7.121748531,7.086397073,7.034432859,7.43025483,7.144982285,6.938970871,7.082933575,6.852734096,6.929674791,6.776376471,6.707950042,7.005969061,7.755989783,7.138944789,7.418096427,6.832931129,7.280658469
ABCB9,4.384021598,5.012404222,5.267149977,4.794664611,5.006499209,6.453639622,4.501368876,5.143402112,4.895531523,4.803629668,5.699209643,5.894631661,4.761452496,4.692266525,5.688437259,5.678702821,5.684926161,5.691533169,5.7444295,5.285802282
ABCC1,7.795127954,7.965948334,7.518990478,7.435447806,6.664945917,7.342459958,7.722098933,7.454392863,8.062185554,7.863072281,7.31493042,8.779064255,7.059150174,7.771359147,7.134452924,7.636003244,8.970365449,7.898624349,7.789718691,7.526242318
ABCC11,4.103965556,4.210390987,5.311987461,4.589324247,7.179824061,5.560825469,8.676257266,6.804371873,5.948284818,4.66405273,4.114334622,5.903781262,7.108266746,8.725867312,8.035480554,8.428114456,4.100604424,4.056309601,9.465378272,5.008842677
ABCC12,4.034365176,3.629991038,3.347202149,3.957279446,3.859549816,3.904932393,4.090794033,3.001321061,3.90739124,3.577558272,3.091385454,3.577184161,4.116577748,3.577790179,4.583154223,3.903318815,3.183202583,3.481738203,4.312565219,3.526314568
ABCC2,4.263356652,4.704219223,4.093156642,4.501008214,4.173568344,3.950334563,4.370587186,4.291947113,5.481432125,3.960827232,4.092877983,4.344010907,4.359934571,3.958479852,4.663913481,3.851598783,3.889816263,4.371060874,8.336294162,4.089511225
ABCC3,6.98390058,6.418511179,5.881803093,6.548308245,7.175304192,5.519403338,7.006047138,7.299074585,6.830009517,6.66400117,6.463697418,9.220461976,6.549157829,7.642905298,6.893063996,5.949362133,6.609414703,5.614104776,8.929305192,6.21713057
ABCC4,5.580904418,5.789804716,5.208856907,5.527248094,5.496076722,4.801343695,6.22898955,5.608069485,6.474678482,6.489657104,5.356543801,6.427471461,7.091678904,6.189813671,5.859245996,4.588352277,8.046673324,5.286860002,6.225491588,6.624462532
ABCC6,5.671412107,5.899679902,5.396727684,5.537395419,5.242204516,5.238920113,5.138195014,4.964974339,5.545800318,4.880187179,4.914333919,5.690530292,5.362017108,5.021659828,5.416316457,5.15333784,5.399852235,5.668777611,6.17525432,5.488728339
ABCC8,5.309042007,5.490762771,6.596518864,5.794277422,6.392191132,5.831508351,6.380636365,5.278392665,5.214133874,5.625462324,6.917793072,5.117380298,5.247745402,6.572138085,5.266946684,5.554810018,5.009462391,5.240053634,4.899289707,5.75128079
ABCC9,7.255730496,8.803996045,5.820993151,7.104645818,6.980191265,5.937079653,6.877016047,5.523832352,8.094149714,6.375794161,6.770866853,6.413460571,7.914166911,6.699037325,5.311451666,7.039439615,4.74125337,5.45231044,7.411194882,6.337347616
ABCD2,7.958965521,6.414894162,4.796196811,7.509058474,4.861026058,3.382978271,3.910535486,3.881084821,4.314797709,5.272357356,3.366783715,3.919408689,4.405150665,3.747270627,4.868755878,3.229358987,4.204711556,3.995275261,4.023889603,4.324426897
ABCD3,9.231415164,8.23129029,9.875457051,8.956313103,9.740042299,10.74593935,9.496944996,9.545521762,8.066636372,8.786528029,10.74634456,8.602799546,8.820658251,10.06490314,9.863008094,11.25961665,8.577045485,10.27004197,8.967256057,8.476940157
ABCD4,6.946027658,7.276263734,7.155330651,7.330700485,6.198922649,6.644016549,6.673286518,6.826381822,7.23817689,7.214902715,6.885142995,6.649831377,7.159212149,6.971977108,6.991225919,6.166502275,7.172754778,6.753859315,6.900932611,6.636942534
ABCG4,5.123668375,5.132775675,4.518883583,5.205021682,4.856186691,4.944243072,4.951187076,4.314667646,5.141158196,4.861546877,4.715797061,5.103357538,5.27053793,4.672227481,4.914458016,4.891740454,4.504798938,5.381186674,4.983718334,5.233572999
ABCG8,4.403864983,4.497264416,4.445767095,4.818672307,4.509457878,4.291666521,4.164207702,4.029234692,4.307542822,4.368790712,4.197776557,4.62204422,4.516948176,4.355260972,4.419290149,4.218239814,4.031424618,4.986529127,4.438509822,4.246561834
ABHD1,5.020403325,5.087465312,5.067256607,5.205780561,4.666573206,4.218767913,4.414901211,3.966943147,4.715516197,4.365475861,4.045825273,4.32033454,4.730756013,4.584901957,5.026204473,4.510901658,4.52099686,5.079260587,4.51433853,4.320089668
ABHD12B,3.695563013,3.625182677,3.339749541,3.378203994,3.608523562,3.430889218,3.208273583,2.866286252,3.343112164,3.453781292,7.466193091,3.195704312,3.925121751,3.57211445,4.006603398,4.007622078,4.159015601,3.860299645,3.435127909,3.761465751
ABHD13,7.303764389,7.544449482,7.364841848,7.2010658,8.737688468,7.942942789,7.983221882,8.133035871,7.694390036,7.861237556,8.47164058,8.033780362,7.73215972,7.94658723,6.885108112,7.307660309,7.76586502,7.581928986,8.044031618,7.927342955
ABHD15,7.409250039,7.667542167,6.814416447,7.565266132,6.854691569,7.15474858,7.215862951,6.349454316,6.935648638,6.622487366,7.264209569,7.519884694,6.584670351,6.653414986,6.917737313,6.676465753,6.943711221,6.842434269,7.44617407,6.496311732
ABHD17A,7.570236449,7.543391661,7.620722874,7.885935948,7.231636529,6.728684982,6.946365073,6.922933673,7.410246143,6.95055264,7.159593453,7.667923799,7.060188695,6.841094331,7.556099009,6.818430225,6.634456536,6.705298432,6.831118541,6.845276636
ABHD17A,7.570236449,7.543391661,7.620722874,7.885935948,7.231636529,6.728684982,6.946365073,6.922933673,7.410246143,6.95055264,7.159593453,7.667923799,7.060188695,6.841094331,7.556099009,6.818430225,6.634456536,6.705298432,6.831118541,6.845276636
ABHD17A,7.456446412,7.56824829,7.310978061,7.613616844,7.055212077,6.613547122,6.744436664,6.593414041,7.183736553,6.710828783,6.918916437,7.243979907,6.952364937,6.742589741,7.357040402,6.595209121,6.537004602,6.517531048,6.654598339,6.659519871
ABHD17A,7.462289421,7.831877053,7.689462317,7.667794399,7.644281391,7.400086068,7.453496958,7.031114393,7.450832057,7.295677453,5.973026726,7.415506738,7.778990613,6.89950011,7.158783446,7.071383249,6.993129097,7.377514783,7.740829435,7.719656209
ABHD17A,7.294884445,7.42191157,7.244558408,7.58454872,6.806307319,6.491619853,6.726741273,6.762434362,7.111075593,6.516978143,6.960538922,7.460238147,6.768863142,6.55048089,7.213849455,6.633878898,6.322562006,6.720193433,6.681845025,6.519481827
ABHD17C,6.837419858,6.906885236,7.069854418,6.698553649,6.966032452,7.121279227,6.63505587,6.273778809,6.79934283,6.996801032,6.700203224,7.914108954,7.041319956,6.358615283,6.653512174,7.178188707,6.464318371,7.159861671,7.041893255,7.099426648
ABHD2,7.747380557,7.822368927,8.583527702,7.950418467,8.701994402,11.46634719,8.73889443,8.899233221,9.338030029,8.816542334,13.00205661,8.630690644,7.944337812,8.829121309,8.609437344,8.856017955,8.777222487,8.580281611,8.6839596,8.780413455
ABHD3,6.569676817,7.572817796,5.866373856,6.638474069,7.419561468,7.629999392,7.83776398,7.118675679,6.226512599,7.315251183,6.817357418,6.922292187,6.112501221,7.19962009,6.76596327,6.883213569,7.137927144,7.404520941,6.924574936,7.937852894
ABHD4,7.830177908,7.800150604,7.188493198,7.910985118,7.391740054,7.96856365,7.822939634,7.320732419,8.667155795,7.323038371,7.223933181,8.361911096,6.737059304,7.904179456,7.544358142,7.502162604,8.144912827,7.819727974,7.695333214,7.294501854
ABHD8,6.877897568,7.078755622,6.664534033,6.993306743,6.589983396,6.512258742,6.402725913,6.471892592,6.680380446,6.394065954,6.76141631,6.813286005,6.426583796,6.563621604,6.4325219,6.919549962,6.62307233,6.86564274,6.72184363,6.552115713
ABI1,8.23622553,8.178921039,8.05094141,8.062974446,8.623424083,8.577719187,8.587313933,8.819302499,8.664568112,8.65737691,8.920575146,7.897356419,8.713255599,8.759568894,8.418644012,8.516976619,8.574398859,7.9357176,8.317541895,8.339317333
ABI3,6.219696106,6.723544748,6.684487181,6.633888173,6.481972494,5.919457766,6.79902463,6.705620717,7.326625568,6.665347647,6.002777137,6.85457831,6.739989119,5.703962954,7.33358608,6.355641329,7.73173196,6.813479966,7.054728637,6.661664695
ABL2,7.042611221,6.832599459,6.828452147,7.051106146,7.14672715,7.278822325,7.401401575,7.152234021,7.676058394,7.942909438,7.125366859,7.020169327,6.882966669,7.381164597,6.829461136,7.383762555,7.417125119,7.04910695,6.975377927,7.081207824
ABLIM1,8.16723519,7.999108069,8.333727664,8.302007459,7.915102011,6.445022309,7.325248902,7.708627994,7.191240266,6.780357783,6.644347088,7.710843968,7.807021818,7.249067031,6.03920879,7.249348445,6.850477038,7.41863018,7.037104493,5.835645003
ABR,7.327994067,7.466881932,7.768797534,7.629299221,6.657701687,7.574953476,7.391946527,7.671129897,8.163664482,7.168302817,7.190209666,7.136539621,7.403941355,7.223489192,7.870665014,7.732340891,8.449966288,7.093523051,7.253987757,7.375517378
ABRAXAS2,6.971021172,6.64144399,6.686848796,6.513792009,6.853161532,7.874699957,7.564833814,7.227133089,6.951860442,6.964540968,7.969156734,5.951861274,6.670394118,6.754526385,7.076312238,7.660989571,7.672784548,6.865564292,6.038299286,6.757188403
ABTB2,5.025585176,5.163022891,5.395933807,5.194440339,5.315710359,5.6016038,5.571386811,5.577558404,5.802741223,5.675351037,4.711523803,6.53430286,5.924001946,5.114997539,5.144639868,6.099435932,5.82414583,6.626581698,5.957448809,5.616043944
ACAA2,8.102654385,8.222075566,7.415482405,8.383739007,7.183604398,6.942474478,7.510984566,7.118299909,7.063498625,7.083087348,6.962187318,6.098747579,6.458724635,7.237827922,7.238430882,7.533129761,7.237419184,6.444320402,6.860242363,6.799325796
ACACA,6.920315568,6.796832963,7.897892982,6.845770717,7.062617241,7.737276001,7.914772288,7.392735608,6.883523673,7.819125545,8.362286281,7.346451297,6.826558177,7.390795903,6.814218164,8.959469286,8.108381507,7.470089545,6.632157572,6.594851753
ACACB,8.137821568,8.776481807,7.860071807,8.140522052,6.282878751,7.012781264,5.974016146,6.402449225,6.366457068,6.333307984,5.524570159,4.809870681,6.156237003,6.378060766,6.187818611,9.031433226,6.292909582,5.633267097,5.469553321,6.245358754
ACAD10,5.467395955,5.690293037,6.266719874,5.605262879,5.712126684,6.207992564,5.983707204,6.381753569,6.004191785,6.079911874,6.806516985,4.979115115,5.365207159,5.685221085,6.388042037,6.779458927,6.445794126,6.032642693,5.963545307,6.362244659
ACAD8,6.775230677,6.983205075,7.342638335,6.984780903,6.808060529,7.60630277,6.974021849,7.313098831,7.128410258,7.130909447,8.975999756,6.997846753,7.058577032,6.989777732,6.997324884,7.546511661,7.106634994,6.752052133,7.288980517,6.802689434
ACADM,9.435710397,8.776782892,8.92614343,8.943733787,9.339930148,9.063705941,8.664773781,9.165863822,8.693216066,8.07730847,9.479310579,7.71711827,8.316952993,8.632521738,8.460924452,9.409991348,8.828380797,8.551417923,7.618967169,8.609132392
ACADS,7.126863967,7.084136995,6.778508731,6.932067894,6.319378145,6.344682422,6.13318074,6.399420694,6.649129423,6.375756611,6.684062996,5.594404259,5.961736274,5.570528124,6.713758966,7.035189788,6.684952746,6.287900882,6.235303972,6.083740058
ACADSB,7.675163405,5.596853708,7.368374655,7.167766161,9.369447387,9.131619754,8.445523441,8.551728518,5.694454325,6.74391497,10.6641737,4.999433151,5.120798583,8.695002647,8.057953274,7.778596047,4.781214776,5.854639366,5.146076837,6.856160341
ACADVL,10.39745563,10.40766833,10.00307537,10.51025163,9.497236927,9.242358183,9.078057835,10.23395105,9.804736141,9.013971351,9.463899707,9.906902869,9.410961974,9.075660663,9.631136593,9.417561955,9.245516064,9.185849284,10.20281332,9.672213521
ACAN,4.112618661,4.622154577,4.12599467,4.792466867,4.616760265,4.633856719,4.750881239,4.913171049,5.841392334,4.790690394,4.910168884,4.87422728,5.165626105,5.036400455,5.123970763,4.995813655,4.573939683,5.645026011,5.324673683,4.657149812
ACAP3,6.705507633,6.806490491,6.882010082,6.656735696,6.548793286,7.416590223,7.314165641,6.673102175,7.197050891,7.496663208,8.353980152,8.152342969,7.160357517,7.001756626,7.539113505,8.262968456,6.752514344,6.906754661,8.017586521,7.362291833
ACAT1,7.832379311,7.45216484,6.723324267,7.665908503,7.015180549,6.426107669,7.234584813,6.871200934,6.536512714,6.38129711,7.500559014,5.777388779,6.461583856,6.700067423,6.865351446,7.059477681,6.585908734,6.632127575,6.049498644,6.938308506
ACBD3,9.093503458,8.95174589,9.183356667,9.128417275,9.026343305,9.71136771,9.611749431,9.482901462,9.501644491,9.027069168,9.396470389,8.843968738,8.969012717,9.370687089,9.107108225,10.02151622,9.987738953,9.281024021,9.111117353,9.331712149
ACBD4,6.9310539,6.994467356,6.679546098,6.967749125,6.732281796,6.32893161,6.284160674,6.588000283,6.531902673,6.520820799,7.874444328,6.497993434,6.002084935,6.292830521,6.428960399,6.265288458,6.029126791,6.397640075,5.954439298,6.409179958
ACBD5,7.734766276,7.416005886,7.209164724,7.409748774,7.175636841,8.747210686,7.837108527,7.821417146,6.879058581,6.674761768,8.375153034,6.682737875,7.021068525,7.200965961,7.411777705,8.628052342,7.531808066,7.075131759,7.134970894,7.017719575
ACBD6,6.418468634,5.941348292,5.925341739,6.158827377,6.19297798,6.607469883,6.599416751,6.380435308,5.823598496,6.611070387,6.42448152,6.056190879,5.731499822,6.107439131,5.334202614,6.855654011,5.626809135,5.751726996,6.376521551,6.579241347
ACCS,6.504775501,6.464224323,6.698415906,6.538247541,6.146906444,6.056422426,6.432568589,6.458699452,6.388609348,6.747047785,7.201797089,6.504706994,6.059374903,6.237415742,5.933731552,6.047815584,6.249905988,6.60719413,6.98254528,6.457378677
ACCSL,3.941411048,4.334544725,4.123901742,4.157973124,4.233653352,3.90994061,3.685772112,3.750479187,4.04859498,3.823960837,3.578417044,3.883027386,3.898064996,3.911765468,3.966949361,3.531178851,3.216380245,4.700470601,4.040757096,4.402821239
ACD,6.422230471,6.358375845,6.565542612,6.338730437,5.985945491,6.600208805,6.715436548,6.703758817,7.002525751,5.977522995,7.829673986,6.776411482,6.284755794,6.7687652,6.795019394,7.816456308,7.705957992,6.429098813,7.233818432,6.006873642
ACE,5.858072247,6.387718583,5.752709432,5.575489547,5.564032613,5.559198864,5.670908404,5.665511884,5.952185036,6.08738862,5.125867886,5.642878074,5.799039213,5.530166036,5.77834858,6.343856912,6.184878383,5.744732343,6.076154579,5.569617774
ACER1,4.912333191,5.239773261,4.814084182,4.863281097,4.954864647,4.626616418,4.239286058,4.79242122,4.879066843,4.332710848,4.144636675,4.827289991,6.485728645,4.615513204,5.207554685,4.227978667,4.256478042,4.841127489,4.521438051,4.337920545
ACER3,6.475699257,6.221506688,5.857828517,6.247142526,6.174601495,5.509291825,6.1161817,6.243602726,6.527354251,5.945497118,6.767801044,6.448232714,7.272040177,6.442443862,6.024895588,8.269517257,6.557196725,5.690560794,5.749552088,6.505987205
ACIN1,7.156298765,7.57875294,7.964371966,7.542789261,6.855638455,7.856201539,7.743352869,8.106265871,7.936232714,7.881461097,8.544337243,7.762870074,7.799403979,8.048784287,8.095454166,8.055676728,8.343209326,8.132202331,6.978093025,7.407409152
ACKR1,6.861370269,7.225290799,6.585587866,6.816104239,7.970883029,5.749173334,6.206895823,8.158241365,5.662963774,5.558104398,5.875120569,6.01460801,6.470222237,5.726131349,6.44916919,5.669844197,5.33227715,7.23765293,5.222567611,5.474964256
ACLY,8.513676298,8.543839736,9.582774182,8.745537137,8.306808728,9.036041618,9.471000425,9.36831337,9.357899741,8.874745488,10.36866383,7.98889552,8.130512139,9.204666882,9.191603085,10.60914955,9.892946974,9.031829724,9.082845254,8.963553463
ACOD1,3.213638988,3.632472727,2.833207035,2.902547231,3.192942986,3.443448987,2.790491283,2.833172023,2.861593081,3.450182248,2.711092488,3.451633089,3.065721714,2.542938883,3.272902147,2.753371286,3.148272538,2.78748939,3.278004119,2.875754786
ACOT1,7.172856997,7.637222519,7.335756094,7.638485462,7.011290311,6.637937359,6.524910728,7.402625252,6.910363447,6.383707683,6.818485879,6.528964372,6.197125082,6.884266423,8.373776023,5.880098909,6.485776447,5.578803807,7.085032214,6.246154494
ACOT11,4.92174794,5.654908586,5.181150982,5.455712353,5.055767674,5.209636503,4.540841305,5.272012259,5.355213874,5.436175942,6.153376962,5.575015182,5.476200723,5.131854908,4.889212466,5.243017627,5.67753389,5.48981949,5.337509919,5.390895883
ACOT2,8.714956261,8.654757596,8.096863027,8.914320304,7.916963937,8.240117016,7.799704689,7.849991021,7.82059834,7.172015276,7.827919033,7.97777714,7.538543554,7.887237053,9.183748726,7.11122033,7.706575671,7.801057136,8.10083618,7.021217803
ACOT4,6.004932393,4.94804577,4.953712653,6.130443649,5.773660572,7.203819904,7.199167749,5.534878895,5.478508176,5.50556591,6.791845656,5.516501497,5.212099992,6.421686385,6.928724628,6.206844974,5.82534071,4.703308082,5.895685028,5.260963765
ACOT6,3.073337335,3.922366975,3.427329584,3.654504856,3.555175613,3.651863727,3.273386287,3.043229933,3.318531849,3.229823162,3.243251367,3.164919846,3.420845882,3.158752394,3.275239979,3.392055829,3.045896557,3.595459841,3.585237976,3.256518644
ACOT7,7.047213625,6.941439303,7.110008721,7.185551745,6.976438281,7.451428407,6.969530286,6.678873217,6.920458791,6.533324304,6.910252915,7.122492079,6.830249053,6.219221779,7.269818589,7.139025766,6.80706279,7.109693098,6.96541076,7.185373594
ACOX1,9.043971955,8.249917374,7.790783265,8.951882144,7.343510531,7.05132903,7.612683724,7.698312882,7.764162858,7.690457135,8.89293089,7.60339644,7.935008661,7.633943023,8.765908611,8.25976227,8.19610383,6.988780446,7.838974429,6.978407268
ACP1,8.207532086,7.896160121,7.925608101,8.142412461,8.280709419,8.722597532,8.510878246,8.419033907,7.849529664,8.100629593,8.874242727,8.652526128,7.908406677,8.216285835,9.062090646,8.600163452,7.883784626,8.239425561,8.579435008,7.921117193
ACP2,7.650696224,8.100992776,7.231168793,7.786253522,7.828442035,7.627424893,7.874488492,7.831372317,8.7759674,7.990536019,8.094850264,8.79497425,7.694269652,7.960454879,9.169551974,7.671492507,9.679044873,7.449908498,8.185258839,7.666579947
ACP4,6.142093676,6.067336719,5.896081536,5.913693526,5.727600643,5.79828812,5.613091625,5.411035497,5.943492912,5.968103546,5.538578804,6.028296623,5.982364425,5.708665351,5.927518696,5.570670542,5.654048185,6.334373362,6.07437906,5.829904749
ACP5,7.197454212,7.913048876,5.689810551,7.447688735,6.146521726,6.911742982,6.736930068,5.664206777,8.046005638,6.65459417,6.776249041,7.401190995,6.235826604,5.0165511,8.236876955,6.741141171,8.075083914,6.4001385,7.222165805,7.171920753
ACP6,6.431415441,5.801106173,6.535381998,6.29177359,6.595619394,5.860132333,7.001893648,6.987197311,5.50636935,6.574344871,5.772019081,7.125534574,5.507762398,6.422454604,5.671579921,6.597095607,7.037575927,6.849636104,6.054195103,5.665510779
ACP7,3.795297152,4.271553125,3.896539958,4.004567421,4.280623566,4.070805985,3.761234951,3.64325505,4.335156102,3.927801173,3.930964877,4.079653942,4.525012614,3.578798619,4.215803922,3.607950444,3.878584428,5.050742901,4.288906267,4.00564813
ACRBP,5.856779499,6.365652393,5.322229269,5.492938612,5.898083775,5.690180192,5.456923949,5.426321879,6.119230774,6.12279533,5.713233159,5.249642084,5.681003839,5.727602694,6.193583324,5.496620891,6.036475997,6.144467885,6.17960706,6.049816094
ACRV1,2.986089733,3.029225966,2.760077154,3.451191164,2.909036552,3.100536069,2.658577125,2.951606826,2.953330976,2.727061269,2.708077836,3.042002143,2.97655689,3.132902347,3.318432888,2.746459423,2.667598132,3.227606349,2.961469144,2.688556192
ACSBG1,4.494982347,4.904732439,4.73872055,4.797689505,4.810897504,4.199163352,4.012829263,3.949672322,4.615070986,4.195283349,4.132099813,5.164965234,4.583499596,4.440718374,4.313546148,4.313814311,4.241134422,4.406026182,4.633247824,4.637089736
ACSBG2,3.706683393,3.743876616,3.368716625,3.307865381,3.35414304,3.911785553,3.583476624,3.296590444,3.331425185,3.165150925,3.509950048,3.853131526,3.525160282,3.198659596,3.42836579,3.573560188,3.430463875,3.359404502,3.734172613,3.438385961
ACSF2,7.171285734,7.213702058,7.186777274,7.090774427,6.986239092,7.25387712,7.847148534,7.318745485,6.331476383,6.275884646,6.590449176,5.214122359,6.087982179,7.415162989,8.895135633,7.91534725,8.066689627,6.31233087,6.501472362,6.697123613
ACSF3,6.278093522,6.7335045,6.557005823,6.592463062,6.331392739,6.827001336,6.509768099,6.422312482,6.643671915,6.982355938,6.432619099,6.442629467,6.420777408,6.439060525,6.612754669,7.483042703,6.620437343,7.096295698,7.111977015,5.983952591
ACSL5,7.431195525,7.73241303,7.568985558,7.375821808,6.798813513,6.200910196,7.464739226,7.864062087,7.186981239,6.836000763,5.641758913,5.675764661,6.59032011,5.925544703,7.100824739,5.953532984,7.693622195,6.471685668,6.683516349,6.390004696
ACSM1,4.157394203,4.163679893,5.25773276,4.221296666,5.026040815,4.31658488,4.944643459,4.453974619,3.719402287,4.138878662,3.76172127,3.742956121,4.411459207,4.922902706,4.301475178,4.613379543,4.09722019,3.832606077,4.510233477,4.12063218
ACSM2A,3.673144707,4.108431851,3.132351989,3.784172656,4.046845784,3.589007869,3.156006097,3.146933811,3.157823802,3.090301246,3.64729552,3.541402011,4.221810232,2.645022635,3.223336042,3.01292261,3.468539762,3.610496595,4.125134866,3.753589544
ACSM3,4.171037735,3.882352428,5.585441179,4.277938803,5.225400692,3.645221992,4.365745744,4.827063888,3.600248371,4.382311572,3.818358884,3.420550458,4.614815083,4.790764872,4.310314666,3.51830328,3.737259136,3.614187141,3.650305908,3.826180659
