Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR2L8,3.603340842,3.606772366,2.836355762,3.8912164,3.901894082,3.507232289,3.191487951,3.286877294,3.237770728,3.657731668,3.733886837,3.947628334,3.345253923,2.637773083,3.012625684,3.746646318,2.865430535,4.468681436,3.560408274,3.659622735
OR2M2,1.851467704,2.258543172,2.170491282,2.162538314,2.060989681,1.978400509,2.053977224,1.748316899,1.96282387,2.094081732,1.969339568,2.389080583,2.114933407,2.442393035,2.31457919,1.704333685,2.462477487,2.609605949,2.32736523,1.902943273
OR2M3,2.327287136,2.995216645,2.616358477,2.6488985,2.754744852,3.185906498,2.284604034,2.316008267,1.949606896,2.201936823,2.335248651,3.163700551,2.282583717,2.202373753,2.448065323,1.718701829,1.953396132,2.769205792,2.736809717,2.374646796
OR2M4,3.631317545,3.433868637,3.260877538,3.294435892,3.432554205,3.452725478,3.705445715,3.475060085,3.074950311,3.287265858,2.910993375,3.577345463,3.74634958,4.068492065,3.15128709,3.574119949,3.313385716,3.417661419,3.492023798,3.565191726
OR2M5,4.143597333,4.1605783,4.357080736,4.771253575,4.799012633,4.692846229,4.126121814,3.940043291,3.924326721,4.1273843,3.90658019,4.518210075,4.354480338,4.223041821,4.210472145,3.705187001,4.193523161,4.273905245,4.832782868,4.237943439
OR2M7,2.454648188,2.63097778,2.241884415,2.658586779,3.059983091,2.501646057,2.313512199,2.147677159,2.599626897,2.390514132,2.510709914,3.289464115,2.239971271,2.565901688,2.840935263,2.664623788,2.590814311,2.546324387,2.283143824,2.610935399
OR2T1,3.657490219,3.372533449,4.135155852,3.331814967,4.341893167,3.925647141,3.642380813,3.559836301,3.951420316,4.813390923,3.538890139,3.705337001,4.064953805,4.097719745,3.694389512,3.516700409,3.834154562,4.058831498,3.759732528,3.679994829
OR2T10,2.472995435,3.366574523,3.470332804,3.04487723,3.759285168,2.94109908,2.968996497,3.45017247,3.647682391,3.188757831,2.991598546,2.678325745,3.115649929,3.421429479,3.603797797,3.513941493,3.223830273,4.028025373,3.275553384,2.746091027
OR2T11,3.706246368,4.181753405,4.333701437,3.715602229,3.964796026,3.352110872,3.485643699,3.195547255,3.349422865,3.534364853,3.412833561,3.119627138,3.625946754,3.459377374,3.723246786,3.120881914,3.173617341,3.502997871,3.829594942,3.567671731
OR2T27,3.698724506,3.464813001,3.159486102,3.414599801,3.899557217,3.72263467,3.380157233,2.959678244,3.684647367,3.574234305,3.35284093,3.546616929,3.515388982,3.414599801,3.081070082,3.546358041,3.3718357,3.6909798,3.966560992,3.395682241
OR2T4,2.544729249,2.894094835,2.628931705,3.240559553,2.209259292,2.149390233,2.59609704,2.595528482,2.91736622,2.318227432,3.051975816,3.105961625,2.321103925,2.702091671,2.726543719,2.953018406,2.434077209,2.196328453,3.866609929,2.513049321
OR2T6,3.10612062,2.669823692,2.713820528,3.082377316,2.581039547,2.639562719,3.081466636,2.14797097,2.334579978,2.950278434,2.598619091,3.339939207,3.795903703,3.094246858,2.285193514,2.10596339,3.016354638,2.655989796,3.351847947,2.844963504
OR2T8,4.835769,4.057587902,3.975390922,4.728214495,4.779647563,4.242268308,4.311482156,4.176823153,4.087057051,4.124136252,3.532207103,4.577578126,4.195450445,4.382620596,4.222818673,3.873642259,3.728293982,5.53821814,3.724560446,3.88407807
OR2W5P,4.18969705,5.355930239,4.44569459,4.140814254,3.903661389,4.915782174,4.369969131,4.21292259,4.055741378,3.884376664,3.819723218,4.506232911,4.316049389,4.074878452,4.01129817,3.67872873,3.651899476,4.10053205,4.325267788,4.400920107
OR2Z1,4.44858271,4.390037145,4.343393612,4.585381277,5.081543432,4.39037984,3.881810614,3.972713117,4.947794478,3.992560553,4.098687792,4.505791167,4.447178275,4.381359865,4.645485862,4.356310002,4.606545185,4.816631028,4.615468311,4.99298604
